RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3283,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
5265,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2320,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4244,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4064,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2741,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2604,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2289,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2517,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3084,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2715,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2294,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3827,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2203,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2429,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3057,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4015,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4456,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3685,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2310,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3226,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2217,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2679,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3033,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3232,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3551,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2123,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
1764,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
