RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
11548,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2161,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3191,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2168,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2877,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1927,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2544,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3269,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3058,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2390,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2444,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
13496,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1971,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1670,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2441,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1469,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1619,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
45844,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1583,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2312,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2541,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1748,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2400,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2522,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
78830,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
