RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1684,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1712,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2159,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1858,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5080,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2217,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3816,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3776,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2314,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3252,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2451,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1618,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1623,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1679,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1907,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1970,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1569,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2162,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2094,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1897,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5172,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1703,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3009,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2002,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1554,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2176,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1810,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3557,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1816,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1534,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5270,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3062,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4223,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2222,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1150,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1580,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1613,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2439,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2943,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1737,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1359,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1837,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1489,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1270,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2220,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1870,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2225,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1738,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
