RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1587,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1847,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1722,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1383,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1835,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1543,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1443,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2319,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1479,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2535,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1645,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
