RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1123,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1745,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1016,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1885,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1562,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1437,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1106,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1138,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1110,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
2022,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1331,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1491,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1699,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1171,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1072,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1174,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1250,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1217,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
964,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1585,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
1185,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
975,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
873,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f82fd997dab234303560326,"07/12/2022, 16:36:04"
