RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3874,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2333,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2525,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2273,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1438,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3493,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1644,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3615,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1616,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2373,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2656,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3892,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
