RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3477,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2089,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2154,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3193,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
6247,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3237,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4826,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4968,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4814,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2807,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3455,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3940,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2868,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
