RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1078,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1015,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
919,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1076,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
974,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1143,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
966,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1055,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1919,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1291,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
5090,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
935,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
7495,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
999,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1054,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
934,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1135,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
951,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1118,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1079,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1198,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1043,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1072,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
911,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
872,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1037,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1063,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1615,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1047,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
926,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1063,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1040,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
982,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1758,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
974,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1536,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
895,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1285,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
943,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1191,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1063,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1046,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1031,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1079,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
3751,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1079,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
