RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5418,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
7579,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4842,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2654,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2797,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3746,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2449,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4792,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4463,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
6069,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2629,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4640,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2786,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2893,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4395,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2164,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4563,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4578,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2770,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2281,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2102,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2730,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2135,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
