RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1943,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1140,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1481,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
709,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2964,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1922,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2003,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1641,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1803,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2068,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1513,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
815,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
830,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
747,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
747,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3329,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1752,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
854,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1796,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1179,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2201,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2125,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1014,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
921,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2365,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1797,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1142,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
763,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
753,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3465,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
