RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4097,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3031,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3730,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5434,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
10629,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2737,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3926,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3496,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2222,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3311,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
