RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3991,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3062,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2240,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2974,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2875,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4143,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3127,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
12880,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
8562,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
18345,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2280,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2176,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1449,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1285,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
977,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4544,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1623,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4815,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2454,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1663,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2866,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
10768,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
24221,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2109,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2694,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3960,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4606,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3568,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
8725,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4065,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
45715,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2034,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2832,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2554,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1776,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1789,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2066,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3224,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
21496,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
4443,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2518,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1670,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
1828,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3101,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3405,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
9155,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
5314,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2283,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3701,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
5604,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
3828,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
7151,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
2809,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
11272,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
93137,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
