RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2410,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3349,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3845,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6569,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3345,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2052,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4120,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2806,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3648,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2197,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2761,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2576,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3729,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2595,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
