RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3838,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4503,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3760,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3451,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2631,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2810,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1967,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3691,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2935,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
6079,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3218,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2047,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1772,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2143,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3632,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5295,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4151,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3074,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3077,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
