RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5982,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3397,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5079,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4108,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2909,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3158,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3550,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3375,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3077,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
6372,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4322,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
16523,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5123,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3564,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3239,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5272,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
