RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_M_nicolas_cage.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_david_cameron.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_M_robert_de_niro.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_F_tehresy_may.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_M_tom_hankes.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_george_Wbush.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_Kate_Winslet.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_jennifer_aniston.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_F_nicola_sturgeon.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_F_hillary_clinton.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_M_Hugh_Grant.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_sandra_bullock.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_Tony_Blair.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_bill_clinton.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_boris_johnson.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_Judi_Dench.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
P_M_donald_trump.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_keira_knightley.png,0,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
E_F_angelina_jolie.png,1,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
age: 28,gender: Female,handedness: right,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
