RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2762,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2719,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2772,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3112,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2823,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3508,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2262,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3704,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2539,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2543,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3080,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3623,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2816,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2723,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
5897,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4779,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2860,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3300,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2503,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2542,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3143,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3984,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
5384,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2398,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2217,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2311,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3391,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2600,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
5440,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3686,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4016,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4316,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2723,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3172,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2582,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2164,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2797,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3563,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3875,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2180,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2650,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2375,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4256,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3127,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2525,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4588,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3043,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2463,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2228,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3039,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2983,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2707,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3035,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3079,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2803,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4448,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4110,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2779,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2499,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3662,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
