RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
4141,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
2416,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
7390,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5280,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
5274,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
file,isFamiliar,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_george_Wbush.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_david_cameron.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_Kate_Winslet.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_Tony_Blair.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_donald_trump.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_jennifer_aniston.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_keira_knightley.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_M_Hugh_Grant.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_M_nicolas_cage.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_sandra_bullock.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_F_nicola_sturgeon.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_M_robert_de_niro.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_bill_clinton.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_F_hillary_clinton.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_angelina_jolie.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_F_tehresy_may.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_M_tom_hankes.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
P_M_boris_johnson.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_F_Judi_Dench.png,1,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
E_M_michael_caine.png,0,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
age: 28,gender: Female,handedness: right,608fdbc4196e5708ed3f291a,"05/06/2022, 11:03:54"
