RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2517,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2995,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3307,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3196,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2209,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3199,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
10241,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
11059,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2253,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1903,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2062,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2046,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
1976,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2444,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2158,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
4510,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2633,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2468,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2228,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2664,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2952,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2330,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3052,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2554,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3302,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2845,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3719,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2911,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2417,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3605,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2301,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
3687,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2316,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2221,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
2096,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5bf9a3378b8be600016509ee,"05/06/2022, 09:54:25"
