RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5514,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3156,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6222,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3031,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5516,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8497,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3138,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3363,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8594,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4002,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7911,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4010,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3667,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3968,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3548,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3531,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5035,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5275,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3759,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6319,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5021,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3373,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9169,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5106,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4205,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3323,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3894,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2575,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
11822,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2546,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5752,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4373,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4536,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5245,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3806,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4997,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3079,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2887,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4375,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9140,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3963,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
9210,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7558,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4598,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5689,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2340,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4806,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4448,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4781,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3813,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4073,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2843,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4195,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4055,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3861,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8644,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5280,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5650,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7351,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3518,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2290,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2930,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7647,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7842,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5961,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
4122,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2772,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
8452,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
3176,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6529,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2710,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
5655,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6282,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
6052,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
7454,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2873,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
2570,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5db1b30186303100098e0d7c,"05/06/2022, 10:55:19"
