RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3662,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
10452,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5197,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4832,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5534,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2314,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3933,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4301,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2350,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3682,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
