RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3091,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2130,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3885,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3440,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2817,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2944,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3419,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3606,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3360,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
1996,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5448,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5774,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3789,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2483,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2362,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2224,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2435,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2561,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3592,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2833,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3909,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3640,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4377,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
5245,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3961,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
4399,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
2904,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3133,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
3825,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa2e6821f5961b9f4d9c04,"05/05/2022, 20:03:05"
