RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4238,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3100,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2639,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4143,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4828,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2667,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3104,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2659,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2975,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
6311,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4821,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4531,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3294,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2952,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3139,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3846,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3868,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2359,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2107,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3423,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
7117,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2885,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2650,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2465,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2769,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5691,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3371,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2126,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2831,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2996,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5894,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3080,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3093,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3768,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3807,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3222,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5716,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
6517,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2919,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2967,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3555,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4771,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
1885,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2425,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3103,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2362,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2951,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
6079,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
1817,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2426,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2439,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2229,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2308,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5369,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
5846,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2638,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2227,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2165,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
4990,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2587,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2271,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
1731,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2213,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3244,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
3266,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2065,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
2308,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,613f5ef7141058c43504c178,"05/06/2022, 10:51:36"
